ExpName, AlgoName, AllTime, BandTime, IterTime, IterNum, ErrorEstimate, BestAlgo, BestParams
gcredits,eps-greedy4,614,540,10,54,22.14285659790039,weka.classifiers.trees.RandomForest,-I 161 -K 0 -depth 19
gcredits,eps-greedy4,624,550,10,55,22.14285659790039,weka.classifiers.trees.RandomForest,-I 161 -K 0 -depth 19
gcredits,eps-greedy4,634,560,10,56,22.14285659790039,weka.classifiers.trees.RandomForest,-I 161 -K 0 -depth 19
gcredits,eps-greedy4,645,570,10,57,22.14285659790039,weka.classifiers.trees.RandomForest,-I 161 -K 0 -depth 19
gcredits,eps-greedy4,655,580,10,58,22.14285659790039,weka.classifiers.trees.RandomForest,-I 161 -K 0 -depth 19
gcredits,eps-greedy4,665,590,10,59,22.14285659790039,weka.classifiers.trees.RandomForest,-I 161 -K 0 -depth 19
gcredits,eps-greedy4,675,600,10,60,22.14285659790039,weka.classifiers.trees.RandomForest,-I 161 -K 0 -depth 19
gcredits,eps-greedy4,211,130,13,10,22.85714340209961,weka.classifiers.lazy.IBk,-K 2 -X -I
gcredits,eps-greedy4,224,143,13,11,22.85714340209961,weka.classifiers.lazy.IBk,-K 2 -X -I
gcredits,eps-greedy4,237,156,13,12,22.85714340209961,weka.classifiers.lazy.IBk,-K 2 -X -I
gcredits,eps-greedy4,250,169,13,13,22.85714340209961,weka.classifiers.lazy.IBk,-K 2 -X -I
gcredits,eps-greedy4,264,182,13,14,22.85714340209961,weka.classifiers.lazy.IBk,-K 2 -X -I
gcredits,eps-greedy4,277,195,13,15,22.85714340209961,weka.classifiers.lazy.IBk,-K 2 -X -I
gcredits,eps-greedy4,290,208,13,16,22.85714340209961,weka.classifiers.lazy.IBk,-K 2 -X -I
gcredits,eps-greedy4,303,221,13,17,22.85714340209961,weka.classifiers.lazy.IBk,-K 2 -X -I
gcredits,eps-greedy4,316,234,13,18,22.85714340209961,weka.classifiers.lazy.IBk,-K 2 -X -I
gcredits,eps-greedy4,330,247,13,19,22.85714340209961,weka.classifiers.lazy.IBk,-K 2 -X -I
gcredits,eps-greedy4,343,260,13,20,22.85714340209961,weka.classifiers.lazy.IBk,-K 2 -X -I
gcredits,eps-greedy4,356,273,13,21,22.85714340209961,weka.classifiers.lazy.IBk,-K 2 -X -I
gcredits,eps-greedy4,369,286,13,22,22.85714340209961,weka.classifiers.lazy.IBk,-K 2 -X -I
gcredits,eps-greedy4,382,299,13,23,22.85714340209961,weka.classifiers.lazy.IBk,-K 2 -X -I
gcredits,eps-greedy4,395,312,13,24,22.85714340209961,weka.classifiers.lazy.IBk,-K 2 -X -I
gcredits,eps-greedy4,409,325,13,25,22.85714340209961,weka.classifiers.lazy.IBk,-K 2 -X -I
gcredits,eps-greedy4,422,338,13,26,22.85714340209961,weka.classifiers.lazy.IBk,-K 2 -X -I
gcredits,eps-greedy4,435,351,13,27,22.85714340209961,weka.classifiers.lazy.IBk,-K 2 -X -I
gcredits,eps-greedy4,448,364,13,28,22.85714340209961,weka.classifiers.lazy.IBk,-K 2 -X -I
gcredits,eps-greedy4,461,377,13,29,22.85714340209961,weka.classifiers.lazy.IBk,-K 2 -X -I
gcredits,eps-greedy4,475,390,13,30,22.85714340209961,weka.classifiers.lazy.IBk,-K 2 -X -I
