ExpName, AlgoName, Timeout, ErrorEstimate, BestAlgo, BestParams
semeion,autoweka,3722,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,3781,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,3841,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,3901,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,3961,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,4021,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,4083,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,4141,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,4200,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,4261,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,4321,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,4381,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,4441,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,4501,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,4560,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,4621,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,4681,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,4741,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,4801,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,4861,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,4921,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,4982,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,5041,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,5101,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,5161,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,5221,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,5281,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,5341,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,5401,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,5461,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,5522,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,5580,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,5640,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,5701,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,5760,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,5821,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,5881,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,5940,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,6001,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,6061,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,6122,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,6181,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,6240,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,6301,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,6361,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,6422,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,6481,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,6541,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,6601,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,6661,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,6721,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,6782,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,6840,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,6901,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,6961,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
semeion,autoweka,7021,7.692131,weka.classifiers.functions.Logistic,-R 6.070976135715333E-4
